program_clean,academic_year,level,tot_students,tot_male,tot_female,duration,rolling_cohort,female_pct,male_pct,equity_status,cohort_female,cohort_male,cohort_female_pct
BCA,2022,Under Graduate Degree,133,102,31,3,133,23.30827068,76.69172932,Highly Imbalanced,31,102,23.30827068
BCA,2023,Under Graduate Degree,271,181,90,3,271,33.2103321,66.7896679,Moderately Imbalanced,90,181,33.2103321
BCA,2024,Under Graduate Degree,396,248,148,3,396,37.37373737,62.62626263,Moderately Imbalanced,148,248,37.37373737
BCA,2025,Under Graduate Degree,407,223,184,3,407,45.20884521,54.79115479,Balanced,184,223,45.20884521
MSc Data Science,2022,Post Graduate Degree,89,40,49,2,89,55.05617978,44.94382022,Moderately Imbalanced,49,40,55.05617978
MSc Data Science,2023,Post Graduate Degree,211,86,125,2,211,59.24170616,40.75829384,Moderately Imbalanced,125,86,59.24170616
MSc Data Science,2024,Post Graduate Degree,208,76,132,2,208,63.46153846,36.53846154,Moderately Imbalanced,132,76,63.46153846
MSc Data Science,2025,Post Graduate Degree,175,71,104,2,175,59.42857143,40.57142857,Moderately Imbalanced,104,71,59.42857143
"ba (communication and media, psychology) - bangalore yeshwanthpur campus",2023,Under Graduate Degree,121,12,109,3,121,90.08264463,9.917355372,Highly Imbalanced,109,12,90.08264463
"ba (communication and media, psychology) - bangalore yeshwanthpur campus",2024,Under Graduate Degree,179,18,161,3,179,89.94413408,10.05586592,Highly Imbalanced,161,18,89.94413408
"ba (communication and media, psychology) - bangalore yeshwanthpur campus",2025,Under Graduate Degree,292,26,266,3,292,91.09589041,8.904109589,Highly Imbalanced,266,26,91.09589041
ba (economics) - bangalore yeshwanthpur campus,2023,Under Graduate Degree,85,29,56,3,85,65.88235294,34.11764706,Moderately Imbalanced,56,29,65.88235294
ba (economics) - bangalore yeshwanthpur campus,2024,Under Graduate Degree,124,40,84,3,124,67.74193548,32.25806452,Moderately Imbalanced,84,40,67.74193548
ba (economics) - bangalore yeshwanthpur campus,2025,Under Graduate Degree,209,70,139,3,209,66.50717703,33.49282297,Moderately Imbalanced,139,70,66.50717703
"ba (psychology, economics) - bangalore yeshwanthpur campus",2023,Under Graduate Degree,65,7,58,3,65,89.23076923,10.76923077,Highly Imbalanced,58,7,89.23076923
"ba (psychology, economics) - bangalore yeshwanthpur campus",2024,Under Graduate Degree,128,15,113,3,128,88.28125,11.71875,Highly Imbalanced,113,15,88.28125
"ba (psychology, economics) - bangalore yeshwanthpur campus",2025,Under Graduate Degree,181,15,166,3,181,91.71270718,8.287292818,Highly Imbalanced,166,15,91.71270718
"ba (psychology, english) - bangalore yeshwanthpur campus",2023,Under Graduate Degree,81,6,75,3,81,92.59259259,7.407407407,Highly Imbalanced,75,6,92.59259259
"ba (psychology, english) - bangalore yeshwanthpur campus",2024,Under Graduate Degree,150,19,131,3,150,87.33333333,12.66666667,Highly Imbalanced,131,19,87.33333333
"ba (psychology, english) - bangalore yeshwanthpur campus",2025,Under Graduate Degree,225,22,203,3,225,90.22222222,9.777777778,Highly Imbalanced,203,22,90.22222222
